Age [ka BP],CO2 [µmol/mol],CH4 [nmol/mol],N2O [nmol/mol]
10.456,265.94,698.91,271.96
10.457,265.94,698.62,271.99
10.458,265.95,698.26,272.01
10.459,265.96,697.83,272.03
10.46,265.96,697.36,272.05
10.461,265.97,696.85,272.07
10.462,265.97,696.34,272.09
10.463,265.98,695.83,272.11
10.464,265.99,695.34,272.13
10.465,265.99,694.89,272.14
10.466,266.0,694.49,272.16
10.467,266.0,694.14,272.18
10.468,266.01,693.87,272.2
10.469,266.02,693.67,272.22
10.47,266.02,693.56,272.24
10.471,266.03,693.53,272.25
10.472,266.04,693.59,272.27
10.473,266.04,693.71,272.29
10.474,266.05,693.88,272.3
10.475,266.05,694.06,272.32
10.476,266.06,694.22,272.34
10.477,266.07,694.31,272.35
10.478,266.07,694.31,272.37
10.479,266.08,694.2,272.38
10.48,266.08,693.97,272.4
10.481,266.09,693.63,272.41
10.482,266.1,693.18,272.43
10.483,266.1,692.65,272.44
10.484,266.11,692.07,272.45
10.485,266.11,691.46,272.47
10.486,266.12,690.84,272.48
10.487,266.13,690.24,272.49
10.488,266.13,689.66,272.51
10.489,266.14,689.12,272.52
10.49,266.14,688.62,272.53
10.491,266.15,688.16,272.54
10.492,266.16,687.73,272.55
10.493,266.16,687.33,272.57
10.494,266.17,686.96,272.58
10.495,266.17,686.63,272.59
10.496,266.18,686.32,272.6
10.497,266.18,686.06,272.61
10.498,266.19,685.82,272.62
10.499,266.2,685.62,272.63
10.5,266.2,685.45,272.64
10.501,266.21,685.32,272.65
10.502,266.21,685.21,272.65
10.503,266.22,685.14,272.66
10.504,266.23,685.08,272.67
10.505,266.23,685.04,272.68
10.506,266.24,685.01,272.68
10.507,266.24,685.01,272.69
10.508,266.25,685.04,272.7
10.509,266.25,685.1,272.7
10.51,266.26,685.21,272.71
10.511,266.27,685.38,272.72
10.512,266.27,685.62,272.72
10.513,266.28,685.95,272.73
10.514,266.28,686.37,272.73
10.515,266.29,686.87,272.74
10.516,266.29,687.44,272.74
10.517,266.3,688.06,272.74
10.518,266.31,688.73,272.75
10.519,266.31,689.43,272.75
10.52,266.32,690.14,272.75
10.521,266.32,690.84,272.75
10.522,266.33,691.51,272.76
10.523,266.33,692.13,272.76
10.524,266.34,692.69,272.76
10.525,266.34,693.18,272.76
10.526,266.35,693.6,272.76
10.527,266.36,693.93,272.76
10.528,266.36,694.19,272.76
10.529,266.37,694.36,272.76
10.53,266.37,694.44,272.76
10.531,266.38,694.45,272.76
10.532,266.38,694.37,272.75
10.533,266.39,694.22,272.75
10.534,266.39,694.02,272.75
10.535,266.4,693.77,272.75
10.536,266.41,693.49,272.74
10.537,266.41,693.18,272.74
10.538,266.42,692.85,272.73
10.539,266.42,692.51,272.73
10.54,266.43,692.14,272.72
10.541,266.43,691.75,272.72
10.542,266.44,691.32,272.71
10.543,266.44,690.87,272.7
10.544,266.45,690.39,272.7
10.545,266.45,689.9,272.69
10.546,266.46,689.42,272.68
10.547,266.47,688.97,272.67
10.548,266.47,688.57,272.66
10.549,266.48,688.22,272.65
10.55,266.48,687.93,272.64
10.551,266.49,687.68,272.63
10.552,266.49,687.46,272.62
10.553,266.5,687.25,272.61
10.554,266.5,687.06,272.59
10.555,266.51,686.89,272.58
10.556,266.51,686.73,272.57
10.557,266.52,686.59,272.55
10.558,266.52,686.47,272.54
10.559,266.53,686.36,272.52
10.56,266.53,686.24,272.51
10.561,266.54,686.1,272.49
10.562,266.54,685.92,272.48
10.563,266.55,685.71,272.46
10.564,266.55,685.46,272.44
10.565,266.56,685.2,272.43
10.566,266.57,684.96,272.41
10.567,266.57,684.75,272.39
10.568,266.58,684.6,272.37
10.569,266.58,684.51,272.35
10.57,266.59,684.48,272.34
10.571,266.59,684.5,272.32
10.572,266.6,684.57,272.3
10.573,266.6,684.68,272.28
10.574,266.61,684.81,272.26
10.575,266.61,684.95,272.23
10.576,266.62,685.12,272.21
10.577,266.62,685.3,272.19
10.578,266.63,685.5,272.17
10.579,266.63,685.72,272.15
10.58,266.64,685.95,272.13
10.581,266.64,686.19,272.1
10.582,266.65,686.42,272.08
10.583,266.65,686.65,272.06
10.584,266.66,686.86,272.03
10.585,266.66,687.07,272.01
10.586,266.67,687.27,271.98
10.587,266.67,687.47,271.96
10.588,266.68,687.64,271.93
10.589,266.68,687.77,271.91
10.59,266.69,687.85,271.88
10.591,266.69,687.88,271.86
10.592,266.7,687.86,271.83
10.593,266.7,687.82,271.81
10.594,266.71,687.76,271.78
10.595,266.71,687.71,271.75
10.596,266.72,687.68,271.73
10.597,266.72,687.66,271.7
10.598,266.73,687.64,271.67
10.599,266.73,687.6,271.65
10.6,266.74,687.51,271.62
10.601,266.74,687.35,271.59
10.602,266.75,687.1,271.56
10.603,266.75,686.76,271.54
10.604,266.75,686.33,271.51
10.605,266.76,685.82,271.48
10.606,266.76,685.25,271.45
10.607,266.77,684.62,271.42
10.608,266.77,683.95,271.39
10.609,266.78,683.25,271.37
10.61,266.78,682.53,271.34
10.611,266.79,681.82,271.31
10.612,266.79,681.12,271.28
10.613,266.8,680.46,271.25
10.614,266.8,679.85,271.22
10.615,266.81,679.3,271.19
10.616,266.81,678.85,271.16
10.617,266.82,678.5,271.13
10.618,266.82,678.28,271.1
10.619,266.83,678.17,271.07
10.62,266.83,678.16,271.04
10.621,266.84,678.23,271.01
10.622,266.84,678.35,270.98
10.623,266.85,678.52,270.95
10.624,266.85,678.72,270.92
10.625,266.86,678.96,270.89
10.626,266.86,679.24,270.86
10.627,266.86,679.54,270.83
10.628,266.87,679.84,270.8
10.629,266.87,680.11,270.77
10.63,266.88,680.34,270.74
10.631,266.88,680.5,270.72
10.632,266.89,680.59,270.69
10.633,266.89,680.62,270.66
10.634,266.9,680.6,270.63
10.635,266.9,680.55,270.6
10.636,266.91,680.48,270.57
10.637,266.91,680.41,270.54
10.638,266.92,680.34,270.51
10.639,266.92,680.3,270.48
10.64,266.93,680.26,270.45
10.641,266.93,680.23,270.42
10.642,266.94,680.21,270.39
10.643,266.94,680.22,270.36
10.644,266.94,680.25,270.33
10.645,266.95,680.31,270.3
10.646,266.95,680.41,270.27
10.647,266.96,680.52,270.25
10.648,266.96,680.65,270.22
10.649,266.97,680.79,270.19
10.65,266.97,680.94,270.16
10.651,266.98,681.09,270.13
10.652,266.98,681.22,270.1
10.653,266.99,681.33,270.08
10.654,266.99,681.4,270.05
10.655,267.0,681.44,270.02
10.656,267.0,681.45,269.99
10.657,267.01,681.45,269.97
10.658,267.01,681.46,269.94
10.659,267.01,681.5,269.91
10.66,267.02,681.57,269.89
10.661,267.02,681.68,269.86
10.662,267.03,681.83,269.83
10.663,267.03,682.01,269.81
10.664,267.04,682.19,269.78
10.665,267.04,682.37,269.76
10.666,267.05,682.54,269.73
10.667,267.05,682.69,269.71
10.668,267.06,682.8,269.68
10.669,267.06,682.87,269.66
10.67,267.07,682.9,269.63
10.671,267.07,682.87,269.61
10.672,267.08,682.78,269.58
10.673,267.08,682.63,269.56
10.674,267.08,682.42,269.54
10.675,267.09,682.14,269.51
10.676,267.09,681.8,269.49
10.677,267.1,681.39,269.47
10.678,267.1,680.91,269.45
10.679,267.11,680.36,269.42
10.68,267.11,679.74,269.4
10.681,267.12,679.05,269.38
10.682,267.12,678.3,269.36
10.683,267.13,677.53,269.34
10.684,267.13,676.74,269.32
10.685,267.14,675.97,269.3
10.686,267.14,675.22,269.28
10.687,267.14,674.52,269.26
10.688,267.15,673.89,269.24
10.689,267.15,673.34,269.22
10.69,267.16,672.88,269.2
10.691,267.16,672.5,269.18
10.692,267.17,672.2,269.16
10.693,267.17,672.0,269.14
10.694,267.18,671.88,269.12
10.695,267.18,671.84,269.11
10.696,267.19,671.88,269.09
10.697,267.19,671.99,269.07
10.698,267.2,672.17,269.05
10.699,267.2,672.41,269.04
10.7,267.2,672.71,269.02
10.701,267.21,673.05,269.0
10.702,267.21,673.41,268.99
10.703,267.22,673.76,268.97
10.704,267.22,674.1,268.95
10.705,267.23,674.4,268.94
